id;card_id;price_from;monthly_avg;weekly_avg;daily_avg;available_items;date_id
1;1;0.15;0.86;0.84;0.75;1024.0;1
2;2;0.02;0.25;0.32;0.36;2142.0;1
3;3;0.1;0.39;0.44;0.35;1407.0;1
4;4;1.2;2.16;2.39;2.31;300.0;1
5;5;8.99;12.6;12.54;12.29;195.0;1
6;6;0.02;0.33;0.44;0.78;997.0;1
7;7;0.15;0.83;0.98;0.8;370.0;1
8;8;0.01;0.12;0.09;0.11;6981.0;1
9;9;0.01;0.09;0.13;0.1;4242.0;1
10;10;0.1;0.38;0.48;0.32;1223.0;1
11;11;24.0;28.54;28.15;27.0;144.0;1
12;12;5.99;7.92;8.09;7.13;210.0;1
13;13;0.05;0.79;0.82;1.32;444.0;1
14;14;0.19;0.46;0.5;0.37;776.0;1
15;15;3.99;4.93;5.32;4.95;302.0;1
16;16;0.25;0.97;0.87;0.74;2077.0;1
17;17;1.0;2.15;2.35;2.89;350.0;1
18;18;4.99;7.46;7.15;8.95;244.0;1
19;19;0.1;0.53;0.52;0.49;958.0;1
20;20;7.49;9.84;10.08;9.98;286.0;1
21;21;0.65;1.35;1.27;1.25;249.0;1
22;22;1.15;1.85;1.97;1.9;350.0;1
23;23;0.19;0.71;0.79;1.13;563.0;1
24;24;16.5;22.04;23.54;22.25;151.0;1
25;25;17.5;18.56;19.03;19.75;150.0;1
26;26;1.4;2.51;2.71;2.0;449.0;1
27;27;1.98;3.02;3.18;2.5;222.0;1
28;28;0.02;0.13;0.15;0.24;3736.0;1
29;29;1.0;2.18;2.45;2.49;388.0;1
30;30;1.5;2.55;2.57;3.4;402.0;1
31;31;10.0;14.2;15.29;15.8;216.0;1
32;32;8.0;11.76;11.76;12.49;229.0;1
33;33;2.99;4.65;4.48;4.49;237.0;1
34;34;1.95;3.31;3.25;3.64;377.0;1
35;35;2.0;5.19;6.08;7.25;313.0;1
36;36;3.49;4.56;4.66;4.66;368.0;1
37;37;0.01;0.16;0.16;0.05;3643.0;1
38;38;0.6;1.87;2.21;2.24;300.0;1
39;39;0.15;0.65;0.7;0.88;593.0;1
40;40;0.1;0.67;0.67;0.91;664.0;1
41;41;0.1;0.31;0.38;0.31;1593.0;1
42;42;4.5;5.71;5.92;6.12;324.0;1
43;43;0.1;0.44;0.49;0.25;1379.0;1
44;44;0.01;0.09;0.12;0.49;3963.0;1
45;45;9.99;9.84;11.39;11.48;362.0;1
46;46;0.1;0.37;0.45;0.46;1147.0;1
47;47;0.1;0.46;0.48;0.57;1164.0;1
48;48;0.02;0.32;0.29;0.27;1803.0;1
49;49;0.08;0.31;0.28;0.3;1288.0;1
50;50;0.2;0.95;0.95;0.53;326.0;1
51;51;20.0;23.25;24.82;23.79;169.0;1
52;52;0.02;0.19;0.2;0.15;2999.0;1
53;53;4.45;8.36;9.35;9.0;168.0;1
54;54;0.01;0.09;0.09;0.15;5052.0;1
55;55;0.02;0.17;0.15;0.04;2845.0;1
56;56;0.95;1.68;1.68;1.0;538.0;1
57;57;0.02;0.15;0.21;0.27;2136.0;1
58;58;0.02;0.15;0.15;0.1;1825.0;1
59;59;5.0;6.99;7.14;7.0;223.0;1
60;60;0.09;0.25;0.22;0.1;1861.0;1
61;61;0.01;0.14;0.1;0.09;3387.0;1
62;62;20.0;27.41;28.4;25.0;146.0;1
63;63;1.5;2.57;2.4;2.75;213.0;1
64;64;0.1;0.44;0.29;0.19;1384.0;1
65;65;0.08;0.3;0.24;0.35;1551.0;1
66;66;12.46;17.67;17.77;17.0;234.0;1
67;67;0.49;0.88;0.86;0.96;854.0;1
68;68;0.04;0.25;0.23;0.25;1863.0;1
69;69;38.94;44.2;44.68;43.0;150.0;1
70;70;15.95;21.43;22.5;23.0;161.0;1
71;71;0.09;0.25;0.26;0.14;2071.0;1
72;72;0.02;0.18;0.17;0.21;1723.0;1
73;73;0.1;0.35;0.35;0.25;1321.0;1
74;74;0.01;0.14;0.24;0.02;3562.0;1
75;75;1.4;2.34;2.28;2.63;873.0;1
76;76;0.05;0.2;0.17;0.1;1961.0;1
77;77;0.09;0.31;0.33;0.3;1749.0;1
78;78;0.05;0.33;0.34;0.32;1828.0;1
79;79;0.01;0.12;0.14;0.05;2837.0;1
